Descriptions,Entity
active ,Personality
adventurous,Personality
affectionate,Personality
altruistic,Personality
ambitious,Personality
angry,Personality
anxious,Personality
appreciative,Personality
articulate ,Personality
attentive,Personality
bad tempered,Personality
bitter,Personality
boring,Personality
bossy,Personality
brave,Personality
broad minded ,Personality
bubbly,Personality
calm,Personality
careful,Personality
careless,Personality
caring ,Personality
cheeky,Personality
cheerful,Personality
codependent,Personality
cold,Personality
commited,Personality
communicator,Personality
compassionate,Personality
confident,Personality
conscientious,Personality
controlling,Personality
cool reserved,Personality
cooperative ,Personality
courageous,Personality
courteous,Personality
crazy,Personality
creative,Personality
critical,Personality
decisive ,Personality
dependable ,Personality
determined,Personality
diplomatic,Personality
discreet,Personality
dishonest,Personality
disobedient,Personality
distracted,Personality
divorced,Personality
domineering,Personality
dull,Personality
dynamic,Personality
easygoing,Personality
emotional,Personality
emotionally stable,Personality
energetic,Personality
enthusiastic,Personality
excessive ,Personality
expedient,Personality
expressive,Personality
extroverted ,Personality
fair-minded,Personality
faithful,Personality
fearless,Personality
flirtatious,Personality
foodie,Personality
frank,Personality
friendly,Personality
funny,Personality
generous,Personality
gentle,Personality
genuine ,Personality
godfearing,Personality
good,Personality
goodtempered,Personality
happy,Personality
hard boiled,Personality
hardworking,Personality
helpful,Personality
principled ,Personality
honest,Personality
humble,Personality
humble ,Personality
humorous,Personality
hypocritical,Personality
imaginative,Personality
impartial,Personality
impatient,Personality
impulsive,Personality
intellectual,Personality
intelligent,Personality
interesting ,Personality
introverted,Personality
jealous,Personality
kind,Personality
lazy,Personality
lazy ,Personality
lively,Personality
loner,Personality
loving,Personality
loving ,Personality
loyal,Personality
manipulative,Personality
married,Personality
mean,Personality
messy,Personality
modest,Personality
narcissistic,Personality
naughty,Personality
neat,Personality
needy,Personality
nervous,Personality
neurotic  ,Personality
nice,Personality
obedient,Personality
open minded,Personality
opinionated,Personality
optimistic,Personality
parent,Personality
partyanimal  ,Personality
passionate,Personality
passive,Personality
patient,Personality
patriot,Personality
persistent,Personality
pessimistic,Personality
placid,Personality
playful,Personality
lucky,Personality
polite,Personality
popular,Personality
prejudiced ,Personality
profound,Personality
proud,Personality
quiet,Personality
racist,Personality
rational,Personality
reactive ,Personality
reliable,Personality
reserved,Personality
respectful ,Personality
romantic,Personality
rude,Personality
scared,Personality
selfconfident,Personality
selfdisciplined,Personality
selfish,Personality
sensible,Personality
sensitive,Personality
serious,Personality
shallow ,Personality
shy,Personality
silly,Personality
sincere,Personality
smart,Personality
sociable,Personality
stingy,Personality
straightforward,Personality
stubborn,Personality
supportive,Personality
tactful,Personality
talkative ,Personality
thoughtful,Personality
tidy,Personality
timid,Personality
trivial,Personality
trustworthy,Personality
unfriendly,Personality
unpleasant,Personality
untidy,Personality
verbally clumsy,Personality
versatile,Personality
waffling,Personality
warmhearted,Personality
witty ,Personality
workaholic,Personality
worried,Personality
acting,Hobbies
aeromodeling,Hobbies
aikido,Hobbies
airbrushing,Hobbies
aircraft spotting,Hobbies
airsofting,Hobbies
amateur astronomy,Hobbies
amateur radio,Hobbies
aquarium,Hobbies
archery,Hobbies
arts,Hobbies
astrology,Hobbies
astronomy,Hobbies
attend a concert,Hobbies
attend a theatre show,Hobbies
backgammon,Hobbies
badminton,Hobbies
bagpipe,Hobbies
baking,Hobbies
ballet,Hobbies
ballroom,Hobbies
banjo,Hobbies
base jumping,Hobbies
baseball,Hobbies
basketball,Hobbies
baton twirling,Hobbies
beach,Hobbies
beachcombing,Hobbies
beadwork,Hobbies
beatboxing,Hobbies
becoming a child advocate,Hobbies
bell ringing,Hobbies
belly dancing,Hobbies
belly-dancing,Hobbies
bicycle polo,Hobbies
bicycling,Hobbies
biking,Hobbies
billiards,Hobbies
bird watching,Hobbies
birding,Hobbies
blacksmithing,Hobbies
blogging,Hobbies
bmx,Hobbies
boardgames,Hobbies
boating,Hobbies
body building,Hobbies
bonsai sculpture,Hobbies
bonsai tree,Hobbies
bookbinding,Hobbies
boomerangs,Hobbies
bowling,Hobbies
boxing,Hobbies
breakdancing,Hobbies
brewing beer,Hobbies
bridge building,Hobbies
bringing food to the disabled,Hobbies
building a house for habitat for humanity,Hobbies
building dollhouses,Hobbies
butterfly watching,Hobbies
button collecting,Hobbies
cake decorating,Hobbies
cake making ,Hobbies
decorating,Hobbies
calligraphy,Hobbies
camping,Hobbies
candle making,Hobbies
canoeing,Hobbies
car racing,Hobbies
card games,Hobbies
cartooning,Hobbies
casino gambling,Hobbies
cave diving,Hobbies
ceramics,Hobbies
chalk drawing,Hobbies
charity,Hobbies
checkers,Hobbies
cheerleading,Hobbies
chess,Hobbies
cigar smoking,Hobbies
clarinet,Hobbies
cloud watching,Hobbies
coin collecting,Hobbies
collecting,Hobbies
collecting stamps,Hobbies
collecting antiques,Hobbies
collecting artwork,Hobbies
collecting hats,Hobbies
collecting music albums,Hobbies
collecting rpm records,Hobbies
collecting sports cards,Hobbies
collecting swords,Hobbies
coloring,Hobbies
compose music,Hobbies
computer activities,Hobbies
conworlding,Hobbies
cooking,Hobbies
cosplay,Hobbies
crafts,Hobbies
create card pyramids,Hobbies
cricket,Hobbies
crochet,Hobbies
crocheting,Hobbies
cross-stitch,Hobbies
crossword puzzles,Hobbies
curling,Hobbies
dancing,Hobbies
darts,Hobbies
diecast collectibles,Hobbies
digital photography,Hobbies
dodgeball,Hobbies
dolls,Hobbies
dominoes,Hobbies
drawing,Hobbies
drums percussion,Hobbies
dumpster diving,Hobbies
eating out,Hobbies
educational courses,Hobbies
electronics,Hobbies
embroidery,Hobbies
entertaining,Hobbies
aerobics,Hobbies
weights,Hobbies
exercise ,Hobbies
explore a corn maze,Hobbies
falconry,Hobbies
fast cars,Hobbies
felting,Hobbies
fencing,Hobbies
fire poi,Hobbies
fishing,Hobbies
floorball,Hobbies
floral arrangements,Hobbies
flower arranging,Hobbies
flute,Hobbies
fly tying,Hobbies
football,Hobbies
four wheeling,Hobbies
freshwater aquariums,Hobbies
frisbee,Hobbies
frisbee golf,Hobbies
frolf,Hobbies
fruit picking ,Hobbies
games,Hobbies
garage saleing,Hobbies
gardening,Hobbies
genealogy,Hobbies
geocaching,Hobbies
ghost hunting,Hobbies
glass painting,Hobbies
glowsticking,Hobbies
gnoming,Hobbies
go kart racing,Hobbies
go see a movie,Hobbies
going to movies,Hobbies
golf,Hobbies
grip strength,Hobbies
guitar,Hobbies
gun collecting,Hobbies
gunsmithing,Hobbies
gymnastics,Hobbies
gyotaku,Hobbies
handball,Hobbies
handwriting analysis,Hobbies
hang gliding,Hobbies
harmonica,Hobbies
herping,Hobbies
hiking,Hobbies
hip hop,Hobbies
hockey,Hobbies
home brewing,Hobbies
home repair,Hobbies
home theater,Hobbies
horn,Hobbies
horse riding,Hobbies
horseback riding,Hobbies
hot air ballooning,Hobbies
hula hooping,Hobbies
hunting,Hobbies
iceskating,Hobbies
illusion,Hobbies
impersonations,Hobbies
internet,Hobbies
inventing,Hobbies
jazz,Hobbies
jenga,Hobbies
jet engines,Hobbies
jewellery making ,Hobbies
jewelry making,Hobbies
jigsaw puzzles,Hobbies
judo,Hobbies
juggling,Hobbies
jujitsu,Hobbies
jump roping,Hobbies
karate,Hobbies
kayaking,Hobbies
keep a journal,Hobbies
kick-boxing,Hobbies
kitchen chemistry,Hobbies
kite boarding,Hobbies
kite flying,Hobbies
kites,Hobbies
knitting,Hobbies
knotting,Hobbies
krav maga,Hobbies
lacrosse,Hobbies
lasers,Hobbies
latin dance,Hobbies
lawn darts,Hobbies
learn to meditate,Hobbies
learn to play poker,Hobbies
learning a foreign language,Hobbies
learning an instrument,Hobbies
learning to pilot a plane,Hobbies
leathercrafting,Hobbies
legos,Hobbies
letterboxing,Hobbies
listening to music,Hobbies
locksport,Hobbies
macrame,Hobbies
magic,Hobbies
making dream-catchers,Hobbies
making model cars,Hobbies
marksmanship,Hobbies
martial arts,Hobbies
matchstick modeling,Hobbies
meditation,Hobbies
metal detecting,Hobbies
microscopy,Hobbies
model railroading,Hobbies
model rockets,Hobbies
modeling ships,Hobbies
models,Hobbies
modern,Hobbies
motorcycles,Hobbies
mountain biking,Hobbies
mountain climbing,Hobbies
music,Hobbies
musical instruments,Hobbies
nail art,Hobbies
needlepoint,Hobbies
origami,Hobbies
owning an antique car,Hobbies
paintball,Hobbies
painting,Hobbies
painting ,Hobbies
papermache,Hobbies
papermaking,Hobbies
parachuting,Hobbies
paragliding or power paragliding,Hobbies
parkour,Hobbies
people watching,Hobbies
peruse a second-hand shop,Hobbies
pets,Hobbies
photography,Hobbies
piano,Hobbies
pilates,Hobbies
pinochle,Hobbies
pipe smoking,Hobbies
planking,Hobbies
playing music,Hobbies
playing team sports,Hobbies
pole dancing,Hobbies
burlesque,Hobbies
polo,Hobbies
pooktre,Hobbies
pottery,Hobbies
powerboking,Hobbies
protesting,Hobbies
puppet master,Hobbies
ventriloquist,Hobbies
puppetry,Hobbies
puzzle building,Hobbies
pyrotechnics,Hobbies
quilting,Hobbies
r/c boats,Hobbies
r/c cars,Hobbies
r/c helicopters,Hobbies
r/c planes,Hobbies
racing pigeons,Hobbies
rafting,Hobbies
railfans,Hobbies
rapping,Hobbies
raquetball,Hobbies
read,Hobbies
reading,Hobbies
reading to the elderly,Hobbies
relaxing,Hobbies
renaissance faire,Hobbies
renting movies,Hobbies
rescuing abused or abandoned animals,Hobbies
ringette,Hobbies
robotics,Hobbies
rock balancing,Hobbies
rock climbing,Hobbies
rock collecting,Hobbies
rockets,Hobbies
rocking aids babies,Hobbies
roleplaying,Hobbies
roller blading,Hobbies
rugby,Hobbies
running,Hobbies
saltwater aquariums,Hobbies
sand castles,Hobbies
sandcastle building,Hobbies
saxophone,Hobbies
scale model building,Hobbies
scrabble,Hobbies
scrapbooking,Hobbies
scrap-booking,Hobbies
scuba diving,Hobbies
sculpture clay,Hobbies
sculpture ice,Hobbies
sculpture soap,Hobbies
sculpture stone,Hobbies
self defense,Hobbies
sewing,Hobbies
shark fishing,Hobbies
shopping,Hobbies
singing,Hobbies
singing in choir,Hobbies
skateboarding,Hobbies
skating,Hobbies
skeet shooting,Hobbies
sketching,Hobbies
skiing,Hobbies
skipping rocks,Hobbies
sky diving,Hobbies
slack lining,Hobbies
sleeping,Hobbies
slingshots,Hobbies
slot car racing,Hobbies
snorkeling,Hobbies
snowboarding,Hobbies
soap making,Hobbies
soccer,Hobbies
socializing with friends/neighbors,Hobbies
spa night,Hobbies
rubix cube,Hobbies
speed cubing ,Hobbies
spelunkering,Hobbies
spend the day at the beach,Hobbies
spending time with family/kids,Hobbies
squash,Hobbies
stamp collecting,Hobbies
storm chasing,Hobbies
storytelling,Hobbies
string figures,Hobbies
sudoku,Hobbies
surf fishing,Hobbies
surfing,Hobbies
survival,Hobbies
swimming,Hobbies
swing,Hobbies
table tennis,Hobbies
tae kwon do,Hobbies
tai chi,Hobbies
tap,Hobbies
target shooting,Hobbies
tatting,Hobbies
taxidermy,Hobbies
tea tasting,Hobbies
tennis,Hobbies
tesla coils,Hobbies
tetris,Hobbies
textiles,Hobbies
texting,Hobbies
toll painting,Hobbies
tombstone rubbing,Hobbies
tool collecting,Hobbies
toy collecting,Hobbies
train collecting,Hobbies
train spotting,Hobbies
traveling,Hobbies
treasure hunting,Hobbies
trekkie,Hobbies
trip to an amusement park,Hobbies
trip to an art gallery,Hobbies
trip to the museum,Hobbies
trombone,Hobbies
trumpet,Hobbies
tutoring children,Hobbies
tv watching,Hobbies
ultimate frisbee,Hobbies
urban exploration,Hobbies
video games,Hobbies
violin,Hobbies
visit a zoo or animal shelter,Hobbies
volleyball,Hobbies
volunteer,Hobbies
walking,Hobbies
warhammer,Hobbies
watching sporting events,Hobbies
weather watcher,Hobbies
weaving ,Hobbies
basket weaving,Hobbies
weightlifting,Hobbies
windsurfing,Hobbies
wine making,Hobbies
wingsuit flying,Hobbies
woodcarving,Hobbies
woodworking,Hobbies
word searches,Hobbies
working in a food pantry,Hobbies
working on cars,Hobbies
world record breaking,Hobbies
wrestling,Hobbies
writing,Hobbies
writing poetry,Hobbies
writing prose,Hobbies
writing music,Hobbies
writing songs,Hobbies
yoga,Hobbies
yoyo,Hobbies
ziplining,Hobbies
zumba,Hobbies
Politics,Hobbies
Sports,Hobbies
atheist ,Religion
buddhist ,Religion
christian ,Religion
hindu,Religion
muslim ,Religion
jewish,Religion
modernist,Religion
monotheist ,Religion
pagan,Religion
church,Religion
allah,Religion
temple,Religion
polytheist ,Religion
catholic,Religion
islam,Religion
shinto,Religion
sikh,Religion
taoist,Religion
theist,Religion
Academic,Profession
Accountant,Profession
Accounting,Profession
Actuary,Profession
Advertising,Profession
Advocate,Profession
Aeronautical,Profession
Agricultural,Profession
humanitarian,Profession
Airline,Profession
Amenity,Profession
Analytical,Profession
Animator,Profession
Archaeologist,Profession
Architect,Profession
Architectural,Profession
Archivist,Profession
Aromatherapist,Profession
Artist,Profession
Auditor,Profession
Automotive,Profession
Barrister,Profession
Biomedical,Profession
Biotechnologist,Profession
Brand,Profession
Broadcasting,Profession
Building,Profession
surveyor,Profession
Business,Profession
Cameraman,Profession
Careers,Profession
Cartographer,Profession
Catering,Profession
Charity,Profession
Chemical,Profession
Childcare,Profession
nurse,Profession
Chiropractor,Profession
Civil,Profession
Clinical,Profession
Commercial,Profession
rural,Profession
Commissioning,Profession
Commodity,Profession
Community,Profession
Company,Profession
Computer,Profession
Conference,Profession
Consultant,Profession
Consumer,Profession
Corporate,Profession
Counsellor,Profession
Court,Profession
verbatim,Profession
Credit,Profession
Crystallographer,Profession
Curator,Profession
Customs,Profession
Cyber,Profession
Dance,Profession
Data,Profession
Database,Profession
finance,Profession
Dentist,Profession
Design,Profession
Dietitian,Profession
Diplomatic,Profession
general,Profession
Doctor,Profession
Dramatherapist,Profession
Economist,Profession
Editorial,Profession
Education,Profession
Electrical,Profession
Electronics,Profession
Employment,Profession
Energy,Profession
Engineering,Profession
Environmental,Profession
Ergonomist,Profession
Facilities,Profession
Field,Profession
Financial,Profession
Firefighter,Profession
Fisheries,Profession
Fitness,Profession
Food,Profession
Forensic,Profession
Geneticist,Profession
Geographical,Profession
Geomatics,Profession
Government,Profession
Graphic,Profession
Herbalist,Profession
Heritage,Profession
Horticulturalist,Profession
Hydrologist,Profession
Illustrator,Profession
Immigration,Profession
Immunologist,Profession
Industrial,Profession
product,Profession
Information,Profession
software,Profession
Insurance,Profession
Interpreter,Profession
Investment,Profession
Journalist,Profession
Laboratory,Profession
Landscape,Profession
Learning,Profession
Lecturer,Profession
Legal,Profession
Licensed,Profession
Local,Profession
Logistics,Profession
Distribution,Profession
Magazine,Profession
Management,Profession
Manufacturing,Profession
Marine,Profession
Market,Profession
Marketing,Profession
Mechanical,Profession
Media,Profession
Medical,Profession
Metallurgist,Profession
Meteorologist,Profession
Microbiologist,Profession
Midwife,Profession
Mining,Profession
Mobile,Profession
Multimedia,Profession
Musician,Profession
Nanoscientist,Profession
Nature,Profession
Naval,Profession
Network,Profession
Nutritional,Profession
Nutritionist,Profession
Occupational,Profession
Oceanographer,Profession
Office,Profession
Operational,Profession
Orthoptist,Profession
Outdoor,Profession
Packaging,Profession
Paramedic,Profession
Patent,Profession
Pension,Profession
Petroleum,Profession
Pharmacist,Profession
Pharmacologist,Profession
Pharmacovigilance,Profession
Photographer,Profession
Physiotherapist,Profession
Police,Profession
Political,Profession
Practice,Profession
Press,Profession
Programme,Profession
Project,Profession
Psychologist,Profession
Prosecutor,Profession
Psychotherapist,Profession
Quality,Profession
Recruitment,Profession
Regulatory,Profession
Research,Profession
Retail,Profession
Sales,Profession
Scene,Profession
Secretary,Profession
Seismic,Profession
Site,Profession
Social,Profession
Soil,Profession
Solicitor,Profession
Sportsman,Profession
athlete,Profession
Statistician,Profession
Stockbroker,Profession
Structural,Profession
Systems,Profession
Teacher,Profession
Technical,Profession
Television,Profession
Tourism,Profession
Tourist,Profession
Toxicologist,Profession
Trader,Profession
Training,Profession
Translator,Profession
Validation,Profession
Veterinary,Profession
Video,Profession
Volunteer,Profession
Warehouse,Profession
Web,Profession
Welfare,Profession
Writer,Profession
Student,Profession
university,Profession
college,Profession
school,Profession
politics,Profession
poet,Profession
director,Profession
author,Profession
astrologer,Profession
chairman,Profession
entrepreneur,Profession
singer,Profession
librarian,Profession
technician,Profession
account,Profession
copywriter,Profession
worker,Profession
engineer,Profession
manager,Profession
traffic,Profession
cabin,Profession
horticulturist,Profession
chemist,Profession
controller,Profession
crew,Profession
executive,Profession
planner,Profession
officer,Profession
clerk,Profession
scientist,Profession
presenter,Profession
analyst,Profession
operator,Profession
adviser,Profession
administrator,Profession
fundraiser,Profession
Service,Profession
biochemist,Profession
cytogeneticist,Profession
molecular,Profession
technologist,Profession
editor,Profession
broker,Profession
organiser,Profession
banker,Profession
treasurer,Profession
reporter,Profession
security,Profession
movement,Profession
visualisation,Profession
hygienist,Profession
practitioner,Profession
assistant,Profession
advice,Profession
conservation,Profession
geologist,Profession
agent,Profession
Commission,Profession
lawyer,Profession
designer,Profession
visitor,Profession
technology,Profession
trainers,Profession
underwriter,Profession
fundraiser,Profession
support,Profession
mentor,Profession
conveyancer,Profession
machine,Profession
toolmaker,Profession
specialist,Profession
buyer,Profession
physicist,Profession
representative,Profession
developer,Profession
programmer,Profession
specialists,Profession
therapist,Profession
researcher,Profession
attorney,Profession
examiner,Profession
scheme,Profession
breeder,Profession
editor,Profession
development,Profession
affairs,Profession
assurance,Profession
merchandiser,Profession
coach,Profession
inspector,Profession
automation,Profession
guide,Profession
film,Profession
game,Profession
producer,Profession
cinematographer,Profession
army,Profession
professional,Profession
experience,Profession
builder,Profession
neuroscientist,Profession
Chevron,Organization
Apple,Organization
AT&T,Organization
McKesson,Organization
Kroger,Organization
Citigroup,Organization
AmerisourceBergen,Organization
Boeing,Organization
Microsoft,Organization
Amazon.com,Organization
Target,Organization
WellPoint,Organization
MetLife,Organization
PepsiCo,Organization
Comcast,Organization
Google,Organization
ConocoPhillips,Organization
Caterpillar,Organization
Pfizer,Organization
DIRECTV,Organization
Sanmina,Organization
KeyCorp,Organization
Greif,Organization
IAC/InterActiveCorp,Organization
SpartanNash,Organization
Amerco,Organization
EnerSys,Organization
Alcoa,Organization
Inditex,Organization
Continental,Organization
Alibaba,Organization
Canon,Organization
Alphabet,Organization
EMC,Organization
Siemens,Organization
Sony,Organization
Amcor,Organization
Macy's,Organization
BASF,Organization
NestlÃ©,Organization
Carnival,Organization
Aon,Organization
ICBC,Organization
ExxonMobil,Organization
Schlumberger,Organization
Eaton,Organization
Travelers,Organization
McDonald's,Organization
Secom,Organization
Richemont,Organization
Deliveroo,Organization
Thermondo,Organization
Alainsa,Organization
iTravex,Organization
Carwow,Organization
